All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
capi-network-nfc,,,,,,,,x,,
capi-social-calendar,,,,,,,,x,,
capi-social-call-log,,,,,,,,x,,
capi-social-contacts,,,,,,,,x,,
capi-system-device,,,,,,,,x,,
capi-system-haptic,,,,,,,,x,,
capi-system-info,,,,,,,,x,,
capi-system-power,,,,,,,,x,,
capi-system-runtime-info,,,,,,,,x,,
capi-system-sensor,,,,,,,,x,,
capi-telephony-call,,,,,,,,x,,
capi-telephony-network-info,,,,,,,,x,,
capi-telephony-sim,,,,,,,,x,,
capi-ui-efl-util,,,,,,,,x,,
capi-uix-feedback,,,,,,,,x,,
capi-uix-tts,,,,,,,,x,,
capi-web-url-download,,,,,,,,x,,
card-scanner,,,,,,,,,,x
cbhm,,x,,,,,,,,
cert-svc,,x,,,,,,,,
check,,,,,x,,,,,
chrpath,,x,,,,,,,,
ciss,,,,x,,,,,,
clock,,,,,,,,,,x
com.samsung.allshare-plus,,,,,,,,,,x
com.samsung.app-tray,,,,,,,,,,x
com.samsung.blue-screen,,,,,,,,,,x
com.samsung.bluetooth-share-ui,,,,,,,,,,x
com.samsung.crash-uploader,,,,,,,,,,x
com.samsung.kies-cast,,,,,,,,,,x
com.samsung.lowbat-syspopup,,,,,,,,,,x
com.samsung.lowmem-syspopup,,,,,,,,,,x
com.samsung.phone-lock,,,,,,,,,,x
com.samsung.poweroff-syspopup,,,,,,,,,,x
com.samsung.switching-daemon,,,,,,,,,,x
com.samsung.video-player,,,,,,,,,,x
com.samsung.wifi-qs,,,,,,,,,,x
connectivity-device-interface,,,,x,,,,,,
connman,,,,x,,,,,,
contacts,,,,,,,,,,x
contacts-service,,x,,,,,,,,
contacts-viewer,,,,,,,,,,x
converter,,,,,,,,,,x
crash-viewer,,x,,,,,,,,
crash-worker,,x,,,,,,,,
csc-data-oxa,,x,,,,,,,,
csc-manager,,x,,,,,,,,
dailybriefing-accuweather,,,,,,,,,,x
dailybriefing-apnews,,,,,,,,,,x
dailybriefing-common,,,,,,,,,,x
dailybriefing-yfinance,,,,,,,,,,x
dali,,,,,,x,,,,
dali-adaptor,,,,,,x,,,,
dali-toolkit,,,,,,x,,,,
data-router,,,,x,,,,,,
dbus,,x,,,,,,,,
dbus-glib,,x,,,,,,,,
dbus-libs,,x,,,,,,,,
default-files-slp,,x,,,,,,,,
default-fonts-fc-fraser,,x,,,,,,,,
default-fonts-fraser,,x,,,,,,,,
desktop-file-utils,,x,,,,,,,,
device-manager-plugin-c210,x,,,,,,,,,
device-mapper,,x,,,,,,,,
device-mapper-libs,,x,,,,,,,,
devman-module-tsp4000,x,,,,,,,,,
dialog,,x,,,,,,,,
divxsdk,,,,,,x,,,,
dlogutil,,x,,,,,,,,
dnsmasq,,x,,,,,,,,
download-provider,,x,,,,,,,,
drm-bnr,,x,,,,,,,,
drm-file-opener,,x,,,,,,,,
drm-popup,,x,,,,,,,,
drm-sapps,,x,,,,,,,,
drm-service,,x,,,,,,,,
drm-service-core-divx,,x,,,,,,,,
drm-service-core-oma,,x,,,,,,,,
drm-service-core-playready,,x,,,,,,,,
drm-utility,,x,,,,,,,,
dtt-engine,,x,,,,,,,,
e17,,,,,,,x,,,
e17-data,,,,,,,x,,,
