All Packages,I9500-sysconf,slp-basefw,slp-sensorfw,slp-netfw,slp-winfw,slp-mmfw,slp-uifw,slp-api,slp-appfw,slp-apps
slp-fonts-webcore,,x,,,,,,,,
sonet,,,,x,,,,,,
smack,,x,,,,,,,,
smack-utils,,x,,,,,,,,
smartsearch,,,,,,,,,,x
sms-plugin,,x,,,,,,,,
social-service,,x,,,,,,,,
speex,,x,,,,,,,,
speex-tools,,x,,,,,,,,
ss-client,,x,,,,,,,,
ss-server,,x,,,,,,,,
starter,,x,,,,,,,,
strace,,x,,,,,,,,
stt,,,,,,x,,,,
svi-data,,x,,,,,,,,
sync-agent-framework,,,,x,,,,,,
syncml-dm-common,,,,x,,,,,,
syncml-dm-service,,,,x,,,,,,
syncml-ds-service,,,,x,,,,,,
sys-assert,,x,,,,,,,,
sys-string,,x,,,,,,,,
sysman,,x,,,,,,,,
syspopup,,x,,,,,,,,
syspopup-caller,,x,,,,,,,,
system-panel,,x,,,,,,,,
system-plugin-c210,x,,,,,,,,,
system-plugin-slp,x,,,,,,,,,
system-popup,,x,,,,,,,,
system-server,,x,,,,,,,,
systemd,,x,,,,,,,,
systemd-units-slp-c210,x,,,,,,,,,
sysv-rc,,x,,,,,,,,
sysvinit,,x,,,,,,,,
sysvinit-utils,,x,,,,,,,,
taskmanager,,,,,,,,,,x
taskmgr-card,,,,,,,,,,x
tcpdump,,,,x,,,,,,
telepathy-farsight,,,,x,,,,,,
telepathy-glib,,,,x,,,,,,
telepathy-mission-control-5,,,,x,,,,,,
telepathy-sofiasip,,,,x,,,,,,
telephony-server,,,,x,,,,,,
testmode,,x,,,,,,,,
thumb-daemon,,x,,,,,,,,
touch-firmware,,x,,,,,,,,
touch-firmware-atmel,,x,,,,,,,,
tts,,,,,,x,,,,
twitter,,,,,,,,,,x
tzdata-slp,,x,,,,,,,,
udev,,x,,,,,,,,
udev-rules-nondefault,,x,,,,,,,,
ug-allshare-efl,,,,,,,,,,x
ug-bluetooth-efl,,,,,,,,,,x
ug-browser-user-agent-efl,,,,,,,,,,x
ug-calendar-picker-efl,,,,,,,,,,x
ug-image-viewer-efl,,,,,,,,,,x
ug-ise-barcode-efl,,,,,,,,,,x
ug-ise-ocr-efl,,,,,,,,,,x
ug-kies-via-wifi,,,,,,,,,,x
ug-memo-efl,,,,,,,,,,x
ug-music-info-efl,,,,,,,,,,x
ug-myfile-detail-efl,,,,,,,,,,x
ug-myfile-efl,,,,,,,,,,x
ug-picker-efl,,,,,,,,,,x
ug-setting-gallery-efl,,,,,,,,,,x
ug-setting-location-efl,,,,,,,,,,x
ug-setting-manage-applications-efl,,,,,,,,,,x
ug-setting-mobileap-efl,,,,,,,,,,x
ug-setting-music-player-efl,,,,,,,,,,x
ug-share-nfc-efl,,,,,,,,,,x
ug-voice-first-launch,,,,,,,,,,x
ui-gadget,,,,,,,,,x,
ui-gadget-tools,,,,,,,,,x,
usb-setting-app,,,,,,,,,,x
usbutils,,x,,,,,,,,
vconf,,x,,,,,,,,
video-hub,,,,,,,,,,x
video-player-ext-engine,,,,,,x,,,,
viewer,,,,,,,,,,x
voicerecorder,,,,,,,,,,x
volume-app,,,,,,,,,,x
vt-stack,,,,x,,,,,,
vtmain,,,,x,,,,,,
webkit-engine,,x,,,,,,,,
wfd-server,,x,,,,,,,,
wft,,x,,,,,,,,
wget,,x,,,,,,,,
which,,x,,,,,,,,
wifi-direct,,,,x,,,,,,
wifi-efl-ug,,,,x,,,,,,
wlandrv-plugin,,,,x,,,,,,
wlandrv-plugin-bcm43xx,x,,,,,,,,,
wpasupplicant,,,,x,,,,,,
wrt,,x,,,,,,,,
wrt-commons,,x,,,,,,,,
wrt-installer,,x,,,,,,,,
wrt-security,,x,,,,,,,,
ws-private-tools,,x,,,,,,,,
x11-apps,,,,,x,,,,,
x11-utils,,,,,x,,,,,
x11-xkb-utils,,,,,x,,,,,
x11-xserver-utils,,,,,x,,,,,
x11-xserver-utils-ex,,,,,x,,,,,
xbitmaps,,,,,x,,,,,
xcb-proto,,,,,x,,,,,
xdgmime,,,,,x,,,,,
xfonts-utils,,,,,x,,,,,
xinit,,,,,x,,,,,
xinput,,,,,x,,,,,
xkeyboard-config,,,,,x,,,,,
xmlrpc-c,,x,,,,,,,,
xmlrpc-c-apps,,x,,,,,,,,
xmlrpc-c-c++,,x,,,,,,,,
xmlrpc-c-client,,x,,,,,,,,
xmlrpc-c-client++,,x,,,,,,,,
xmlsec1,,x,,,,,,,,
xmlsec1-openssl,,x,,,,,,,,
xmm6260-boot,x,,,,,,,,,
xorg-server,,,,,x,,,,,
xorg-server-common,,,,,x,,,,,
xorg-server-core,,,,,x,,,,,
xorg-x11-filesystem,,,,,x,,,,,
xorg-x11-util-macros,,,,,x,,,,,
xorg-x11-xauth,,,,,x,,,,,
xrestop,,,,,x,,,,,
xserver-xorg-input-evdev,,,,,x,,,,,
xserver-xorg-input-evdev-multitouch,,,,,x,,,,,
xserver-xorg-input-gesture,,,,,x,,,,,
xserver-xorg-misc-s5pc210,,,,,x,,,,,
xserver-xorg-video-s5pc210,,,,,x,,,,,
xtrans,,,,,x,,,,,
youtube,,,,,,,,,,x
zypper,,x,,,,,,,,
